"one","two","three","track"
"uhh","uhh","uhh","03 Bonnie & Clyde"
"uhh","uhh","you","03 Bonnie & Clyde"
"uhh","you","ready","03 Bonnie & Clyde"
"you","ready","b?","03 Bonnie & Clyde"
"ready","b?","let's","03 Bonnie & Clyde"
"b?","let's","go","03 Bonnie & Clyde"
"let's","go","get","03 Bonnie & Clyde"
"go","get","'em","03 Bonnie & Clyde"
"get","'em","look","03 Bonnie & Clyde"
"'em","look","for","03 Bonnie & Clyde"
"look","for","me","03 Bonnie & Clyde"
"for","me","young","03 Bonnie & Clyde"
"me","young","b","03 Bonnie & Clyde"
"young","b","cruisin","03 Bonnie & Clyde"
"b","cruisin","down","03 Bonnie & Clyde"
"cruisin","down","the","03 Bonnie & Clyde"
"down","the","westside","03 Bonnie & Clyde"
"the","westside","-","03 Bonnie & Clyde"
"westside","-","highway","03 Bonnie & Clyde"
"-","highway","doing","03 Bonnie & Clyde"
"highway","doing","what","03 Bonnie & Clyde"
"doing","what","we","03 Bonnie & Clyde"
"what","we","like","03 Bonnie & Clyde"
"we","like","to","03 Bonnie & Clyde"
"like","to","do","03 Bonnie & Clyde"
"to","do","-","03 Bonnie & Clyde"
"do","-","our","03 Bonnie & Clyde"
"-","our","way","03 Bonnie & Clyde"
"our","way","eyes","03 Bonnie & Clyde"
"way","eyes","behind","03 Bonnie & Clyde"
"eyes","behind","shades","03 Bonnie & Clyde"
"behind","shades","this","03 Bonnie & Clyde"
"shades","this","necklace","03 Bonnie & Clyde"
"this","necklace","the","03 Bonnie & Clyde"
"necklace","the","reason","03 Bonnie & Clyde"
"the","reason","all","03 Bonnie & Clyde"
"reason","all","of","03 Bonnie & Clyde"
"all","of","my","03 Bonnie & Clyde"
"of","my","dates","03 Bonnie & Clyde"
"my","dates","been","03 Bonnie & Clyde"
"dates","been","blind","03 Bonnie & Clyde"
"been","blind","dates","03 Bonnie & Clyde"
"blind","dates","but","03 Bonnie & Clyde"
"dates","but","today","03 Bonnie & Clyde"
"but","today","i","03 Bonnie & Clyde"
"today","i","got","03 Bonnie & Clyde"
"i","got","my","03 Bonnie & Clyde"
"got","my","thoroughest","03 Bonnie & Clyde"
"my","thoroughest","girl","03 Bonnie & Clyde"
"thoroughest","girl","wit","03 Bonnie & Clyde"
"girl","wit","me","03 Bonnie & Clyde"
"wit","me","i'm","03 Bonnie & Clyde"
"me","i'm","mashin","03 Bonnie & Clyde"
"i'm","mashin","the","03 Bonnie & Clyde"
"mashin","the","gas","03 Bonnie & Clyde"
"the","gas","she's","03 Bonnie & Clyde"
"gas","she's","grabbin","03 Bonnie & Clyde"
"she's","grabbin","the","03 Bonnie & Clyde"
"grabbin","the","wheel","03 Bonnie & Clyde"
"the","wheel","it's","03 Bonnie & Clyde"
"wheel","it's","true","03 Bonnie & Clyde"
"it's","true","to","03 Bonnie & Clyde"
